Product;ASIN;SKU;Units;Refunds;Sales;Promo;Ads;Sponsored products (PPC);Sponsored Display;Sponsored brands (HSA);Sponsored Brands Video;Google ads;Facebook ads;% Refunds;Sellable Quota;Refund сost;Amazon fees;Cost of Goods;Gross profit;Net profit;Estimated payout;Expenses;Margin;ROI;BSR;Real ACOS;Sessions;Unit Session Percentage
"""Kids Toys Water Doodle Mat - Cry Babies 19.7 X 29.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 2.99 / Price: 9.95""";nan B0CB4JVXX4;nan CRYBAB810P;nan 1.0;nan nan;nan 19.95;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -78.41;nan -2.99;nan -61.45;nan -61.45;nan -58.46;nan nan;nan -308.02;nan -2 055.18;nan nan;nan nan;nan 9;nan 11.11
"""12L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.04 / Price: 4.5""";nan B0C5MQS7LS;nan HOMEXX009G;nan nan;nan nan;nan nan;nan nan;nan -1.56;nan -1.56;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -14.72;nan nan;nan -16.28;nan -16.28;nan -16.28;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""20L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.45 / Price: 9""";nan B0C5MRKMJR;nan HOMEXX010G;nan nan;nan nan;nan nan;nan nan;nan -4.2;nan -4.2;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -8.05;nan nan;nan -12.25;nan -12.25;nan -12.25;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 9 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.57 / Price: 3.9""";nan B0C5MRNX4F;nan HOMEXX001G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16.77;nan nan;nan -16.77;nan -16.77;nan -16.77;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""30L Bamboo Rim Storage Basket - Laundry Hamper with Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 5.98 / Price: 16.55""";nan B0C5MRWXJQ;nan HOMEXX008G;nan nan;nan nan;nan nan;nan nan;nan -5.16;nan -5.16;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -10.94;nan nan;nan -16.10;nan -16.10;nan -16.1;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry Basket - 49L Round Storage Bin Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room - Grey COG: 6.66 / Price: 7.99""";nan B0C5MSFG65;nan HOMEXX007G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16.87;nan nan;nan -16.87;nan -16.87;nan -16.87;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 3 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.35 / Price: 3.95""";nan B0C5MSHJDK;nan HOMEXX003G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -16;nan nan;nan -16.00;nan -16.00;nan -16;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry hamper - 46L Storage Basket Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room – Grey COG: 6.23 / Price: 7.99""";nan B0C5MTBX3V;nan HOMEXX005G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -19.57;nan nan;nan -19.57;nan -19.57;nan -19.57;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Bamboo Rim Storage Basket - 4 Compartments Foldable Frame and Fabric Shelf Bin - Large Organizer for Dirty Clothes, Towels, Blankets, Toys - Convenient Laundry Storage Sorter with Handles. COG: 4.35 / Price: 3.9""";nan B0C5MTHTX2;nan HOMEXX002G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -18.49;nan nan;nan -18.49;nan -18.49;nan -18.49;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry Basket with Lid - 49L Round Storage Bin Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room - Grey COG: 7.91 / Price: 7.99""";nan B0C5MVHLSV;nan HOMEXX006G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -47.32;nan nan;nan -47.32;nan -47.32;nan -47.32;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Laundry hamper with Lid - 46L Storage Basket Space Saving - Bamboo Handles for Clothes, Towels & Toys, Freestanding Collapsible Laundry Hamper | Bedroom, Bathroom, Dorm & Laundry Room – Grey COG: 7.21 / Price: 18.85""";nan B0C5MVJD7Z;nan HOMEXX004G;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -36.75;nan nan;nan -36.75;nan -36.75;nan -36.75;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""La Granja de Zenon Magnetic Daily Calendar COG: 2.93 / Price: 5.95""";nan B0C7L6QTPH;nan LAGDZE809P;nan nan;nan nan;nan nan;nan nan;nan -11.69;nan -11.69;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan nan;nan nan;nan -11.69;nan -11.69;nan -11.69;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Peppa Pig Reusable Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys (50cm x 70cm) COG: 2.71 / Price: 19.95""";nan B0CB4GXSHC;nan PEPPAP767P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -132.12;nan nan;nan -132.12;nan -132.12;nan -132.12;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Peppa Pig Reusable Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys (100cm x 100cm) COG: 7.5 / Price: 28.95""";nan B0CB4HHTXS;nan PEPPAP753P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -892.06;nan nan;nan -892.06;nan -892.06;nan -892.06;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - La Granja de Zenon 27.5 X 19.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 3.84 / Price: 6.99""";nan B0CB4HN56F;nan LAGDZE810P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -59.93;nan nan;nan -59.93;nan -59.93;nan -59.93;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
"""Kids Toys Water Doodle Mat - Pocoyo 27.5 X 19.6 Inches Reusable Large Painting Writing Color Doodle Mat Drawing Board, Toddler Educational Toys for Age 3 and Up Year Old Girls & Boys COG: 3.54 / Price: 11.95""";nan B0CB4JCSGZ;nan POCOYO803P;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan -;nan nan;nan -59.93;nan nan;nan -59.93;nan -59.93;nan -59.93;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan;nan nan
